nth-trial,count,result
434,120,tails
435,108,heads
435,121,tails
436,109,heads
436,121,tails
437,110,heads
437,121,tails
438,111,heads
438,121,tails
439,111,heads
439,121,tails
440,111,heads
440,121,tails
441,111,heads
441,121,tails
442,111,heads
442,121,tails
443,112,heads
443,121,tails
444,112,heads
444,122,tails
445,112,heads
445,123,tails
446,112,heads
446,124,tails
447,112,heads
447,124,tails
448,113,heads
448,124,tails
449,113,heads
449,124,tails
450,113,heads
450,124,tails
451,114,heads
451,124,tails
452,114,heads
452,124,tails
453,115,heads
453,124,tails
454,115,heads
454,124,tails
455,115,heads
455,125,tails
456,116,heads
456,125,tails
457,116,heads
457,125,tails
458,116,heads
458,125,tails
459,117,heads
459,125,tails
460,117,heads
460,125,tails
461,117,heads
461,125,tails
462,117,heads
462,126,tails
463,117,heads
463,127,tails
464,117,heads
464,127,tails
465,118,heads
465,127,tails
466,119,heads
466,127,tails
467,119,heads
467,127,tails
468,120,heads
468,127,tails
469,120,heads
469,127,tails
470,121,heads
470,127,tails
471,121,heads
471,127,tails
472,121,heads
472,128,tails
473,121,heads
473,129,tails
474,122,heads
474,129,tails
475,122,heads
475,129,tails
476,122,heads
476,129,tails
477,122,heads
477,129,tails
478,122,heads
478,129,tails
479,122,heads
479,130,tails
480,122,heads
480,130,tails
481,122,heads
481,130,tails
482,122,heads
482,130,tails
483,122,heads
483,131,tails
484,122,heads
484,131,tails
485,123,heads
485,131,tails
486,124,heads
486,131,tails
487,124,heads
487,132,tails
488,125,heads
488,132,tails
489,125,heads
489,132,tails
490,125,heads
490,133,tails
491,125,heads
491,134,tails
492,126,heads
492,134,tails
493,126,heads
493,134,tails
494,127,heads
494,134,tails
495,127,heads
495,134,tails
496,127,heads
496,134,tails
497,128,heads
497,134,tails
498,128,heads
498,134,tails
499,128,heads
499,134,tails
500,129,heads
500,134,tails
501,129,heads
501,135,tails
502,129,heads
502,136,tails
503,129,heads
503,136,tails
504,129,heads
504,137,tails
505,129,heads
505,137,tails
506,129,heads
506,137,tails
507,130,heads
507,137,tails
508,130,heads
508,137,tails
509,130,heads
509,137,tails
510,130,heads
510,138,tails
511,130,heads
511,138,tails
512,130,heads
512,138,tails
513,130,heads
513,139,tails
514,130,heads
514,140,tails
515,130,heads
515,140,tails
516,131,heads
516,140,tails
517,131,heads
517,140,tails
518,132,heads
518,140,tails
519,132,heads
519,140,tails
520,132,heads
520,141,tails
521,132,heads
521,141,tails
522,132,heads
522,141,tails
523,132,heads
523,142,tails
524,133,heads
524,142,tails
525,133,heads
525,142,tails
526,133,heads
526,142,tails
527,134,heads
527,142,tails
528,134,heads
528,143,tails
529,135,heads
529,143,tails
530,136,heads
530,143,tails
531,136,heads
531,143,tails
532,136,heads
532,143,tails
533,136,heads
533,143,tails
534,136,heads
534,143,tails
535,136,heads
535,144,tails
536,136,heads
536,144,tails
537,136,heads
537,144,tails
538,136,heads
538,145,tails
539,136,heads
539,145,tails
540,137,heads
540,145,tails
541,137,heads
541,145,tails
542,137,heads
542,145,tails
543,137,heads
543,145,tails
544,137,heads
544,146,tails
545,137,heads
545,146,tails
546,137,heads
546,147,tails
547,137,heads
547,148,tails
548,137,heads
548,148,tails
549,138,heads
549,148,tails
550,138,heads
550,148,tails
551,138,heads
551,148,tails
552,139,heads
552,148,tails
553,139,heads
553,148,tails
554,139,heads
554,148,tails
555,139,heads
555,148,tails
556,139,heads
556,148,tails
557,139,heads
557,148,tails
558,139,heads
558,148,tails
559,140,heads
559,148,tails
560,140,heads
560,148,tails
561,140,heads
561,148,tails
562,141,heads
562,148,tails
563,141,heads
563,148,tails
564,141,heads
564,148,tails
565,141,heads
565,148,tails
566,141,heads
566,149,tails
567,142,heads
567,149,tails
568,142,heads
568,149,tails
569,143,heads
569,149,tails
570,143,heads
570,149,tails
571,144,heads
571,149,tails
572,144,heads
572,150,tails
573,144,heads
573,150,tails
574,144,heads
574,151,tails
575,144,heads
575,151,tails
576,144,heads
576,152,tails
577,144,heads
577,153,tails
578,144,heads
578,153,tails
579,144,heads
579,154,tails
580,144,heads
580,154,tails
581,144,heads
581,154,tails
582,144,heads
582,154,tails
583,144,heads
583,154,tails
584,145,heads
584,154,tails
585,145,heads
585,154,tails
586,146,heads
586,154,tails
587,146,heads
587,154,tails
588,147,heads
588,154,tails
589,147,heads
589,154,tails
590,147,heads
590,154,tails
591,147,heads
591,155,tails
592,148,heads
592,155,tails
593,148,heads
593,155,tails
594,148,heads
594,156,tails
595,148,heads
595,157,tails
596,148,heads
596,157,tails
597,148,heads
597,157,tails
598,148,heads
598,158,tails
599,148,heads
599,158,tails
600,149,heads
600,158,tails
601,149,heads
601,159,tails
602,150,heads
602,159,tails
603,150,heads
603,159,tails
604,151,heads
604,159,tails
605,152,heads
605,159,tails
606,152,heads
606,160,tails
607,152,heads
607,160,tails
608,152,heads
608,160,tails
609,152,heads
609,160,tails
610,152,heads
610,160,tails
611,153,heads
611,160,tails
612,153,heads
612,160,tails
613,153,heads
613,160,tails
614,153,heads
614,161,tails
615,153,heads
615,161,tails
616,153,heads
616,161,tails
617,153,heads
617,161,tails
618,153,heads
618,161,tails
619,153,heads
619,162,tails
620,154,heads
620,162,tails
621,154,heads
621,162,tails
622,154,heads
622,162,tails
623,154,heads
623,162,tails
624,154,heads
624,162,tails
625,154,heads
625,162,tails
626,155,heads
626,162,tails
627,156,heads
627,162,tails
628,156,heads
628,162,tails
629,156,heads
629,162,tails
630,157,heads
630,162,tails
631,157,heads
631,163,tails
632,158,heads
632,163,tails
633,158,heads
633,164,tails
634,159,heads
634,164,tails
635,159,heads
635,164,tails
636,159,heads
636,165,tails
637,160,heads
637,165,tails
638,160,heads
638,166,tails
639,160,heads
639,166,tails
640,160,heads
640,166,tails
641,161,heads
641,166,tails
642,161,heads
642,167,tails
643,161,heads
643,167,tails
644,161,heads
644,167,tails
645,161,heads
645,167,tails
646,161,heads
646,168,tails
647,162,heads
647,168,tails
648,162,heads
648,168,tails
649,162,heads
649,168,tails
650,162,heads
650,169,tails
651,162,heads
651,169,tails
652,162,heads
652,169,tails
653,162,heads
653,170,tails
654,162,heads
654,170,tails
655,163,heads
655,170,tails
656,163,heads
656,170,tails
657,163,heads
657,171,tails
658,163,heads
658,171,tails
659,163,heads
659,171,tails
660,163,heads
660,171,tails
661,164,heads
661,171,tails
662,164,heads
662,172,tails
663,164,heads
663,173,tails
664,164,heads
664,173,tails
665,165,heads
665,173,tails
666,166,heads
666,173,tails
667,166,heads
667,173,tails
668,166,heads
668,173,tails
669,166,heads
669,174,tails
670,166,heads
670,175,tails
671,167,heads
671,175,tails
672,168,heads
672,175,tails
673,168,heads
673,175,tails
674,168,heads
674,175,tails
675,168,heads
675,176,tails
676,168,heads
676,177,tails
677,168,heads
677,178,tails
678,169,heads
678,178,tails
679,170,heads
679,178,tails
680,170,heads
680,178,tails
681,170,heads
681,178,tails
682,171,heads
682,178,tails
683,171,heads
683,179,tails
684,171,heads
684,180,tails
685,171,heads
685,181,tails
686,172,heads
686,181,tails
687,173,heads
687,181,tails
688,173,heads
688,182,tails
689,173,heads
689,182,tails
690,174,heads
690,182,tails
691,174,heads
691,182,tails
692,174,heads
692,182,tails
693,175,heads
693,182,tails
694,175,heads
694,182,tails
695,175,heads
695,183,tails
696,175,heads
696,184,tails
697,176,heads
697,184,tails
698,176,heads
698,185,tails
699,177,heads
699,185,tails
700,177,heads
700,186,tails
701,177,heads
701,186,tails
702,177,heads
702,187,tails
703,178,heads
703,187,tails
704,178,heads
704,187,tails
705,179,heads
705,187,tails
706,179,heads
706,188,tails
707,180,heads
707,188,tails
708,180,heads
708,189,tails
709,180,heads
709,189,tails
710,180,heads
710,189,tails
711,180,heads
711,190,tails
712,180,heads
712,191,tails
713,180,heads
713,192,tails
714,180,heads
714,193,tails
715,180,heads
715,193,tails
716,181,heads
716,193,tails
717,181,heads
717,193,tails
718,182,heads
718,193,tails
719,182,heads
719,193,tails
720,182,heads
720,193,tails
721,183,heads
721,193,tails
722,183,heads
722,194,tails
723,183,heads
723,195,tails
724,183,heads
724,195,tails
725,184,heads
725,195,tails
726,184,heads
726,195,tails
727,185,heads
727,195,tails
728,185,heads
728,195,tails
729,185,heads
729,196,tails
730,185,heads
730,197,tails
731,186,heads
731,197,tails
732,186,heads
732,197,tails
733,186,heads
733,197,tails
734,186,heads
734,198,tails
735,187,heads
735,198,tails
736,187,heads
736,199,tails
737,188,heads
737,199,tails
738,188,heads
738,199,tails
739,188,heads
739,199,tails
740,188,heads
740,199,tails
741,188,heads
741,200,tails
742,188,heads
742,200,tails
743,188,heads
743,200,tails
744,188,heads
744,200,tails
745,188,heads
745,201,tails
746,188,heads
746,201,tails
747,188,heads
747,201,tails
748,188,heads
748,201,tails
749,188,heads
749,201,tails
750,189,heads
750,201,tails
751,189,heads
751,201,tails
752,189,heads
752,201,tails
753,189,heads
753,201,tails
754,190,heads
754,201,tails
755,190,heads
755,201,tails
756,190,heads
756,201,tails
757,190,heads
757,201,tails
758,190,heads
758,201,tails
759,190,heads
759,202,tails
760,190,heads
760,202,tails
761,191,heads
761,202,tails
762,191,heads
762,203,tails
763,192,heads
763,203,tails
764,193,heads
764,203,tails
765,193,heads
765,203,tails
766,194,heads
766,203,tails
767,195,heads
767,203,tails
768,195,heads
768,203,tails
769,195,heads
769,203,tails
770,195,heads
770,204,tails
771,195,heads
771,204,tails
772,196,heads
772,204,tails
773,197,heads
773,204,tails
774,198,heads
774,204,tails
775,199,heads
775,204,tails
776,199,heads
776,204,tails
777,199,heads
777,204,tails
778,200,heads
778,204,tails
779,200,heads
779,204,tails
780,200,heads
780,204,tails
781,200,heads
781,204,tails
782,200,heads
782,205,tails
783,200,heads
783,206,tails
784,200,heads
784,207,tails
785,200,heads
785,208,tails
786,200,heads
786,209,tails
787,200,heads
787,209,tails
788,200,heads
788,210,tails
789,201,heads
789,210,tails
790,201,heads
790,210,tails
791,201,heads
791,210,tails
792,201,heads
792,210,tails
793,201,heads
793,210,tails
794,201,heads
794,210,tails
795,202,heads
795,210,tails
796,202,heads
796,210,tails
797,202,heads
797,210,tails
798,202,heads
798,210,tails
799,202,heads
799,211,tails
800,202,heads
800,211,tails
801,202,heads
801,211,tails
802,202,heads
802,211,tails
803,203,heads
803,211,tails
804,203,heads
804,211,tails
805,204,heads
805,211,tails
806,204,heads
806,212,tails
807,205,heads
807,212,tails
808,205,heads
808,213,tails
809,205,heads
809,213,tails
810,205,heads
810,214,tails
811,206,heads
811,214,tails
812,206,heads
812,214,tails
813,206,heads
813,214,tails
814,207,heads
814,214,tails
815,208,heads
815,214,tails
816,208,heads
816,215,tails
817,208,heads
817,216,tails
818,209,heads
818,216,tails
819,210,heads
819,216,tails
820,210,heads
820,216,tails
821,211,heads
821,216,tails
822,211,heads
822,216,tails
823,211,heads
823,216,tails
824,212,heads
824,216,tails
825,212,heads
825,217,tails
826,213,heads
826,217,tails
827,213,heads
827,218,tails
828,213,heads
828,218,tails
829,213,heads
829,219,tails
830,213,heads
830,220,tails
831,213,heads
831,220,tails
832,213,heads
832,221,tails
833,213,heads
833,222,tails
834,213,heads
834,223,tails
835,213,heads
835,223,tails
836,213,heads
836,223,tails
837,213,heads
837,223,tails
838,214,heads
838,223,tails
839,214,heads
839,223,tails
840,214,heads
840,223,tails
841,215,heads
841,223,tails
842,215,heads
842,224,tails
843,215,heads
843,225,tails
844,215,heads
844,225,tails
845,216,heads
845,225,tails
846,216,heads
846,225,tails
847,216,heads
847,225,tails
848,216,heads
848,226,tails
849,217,heads
849,226,tails
850,217,heads
850,226,tails
851,218,heads
851,226,tails
852,219,heads
852,226,tails
853,219,heads
853,226,tails
854,220,heads
854,226,tails
855,220,heads
855,226,tails
856,220,heads
856,227,tails
857,220,heads
857,228,tails
858,220,heads
858,229,tails
859,220,heads
859,230,tails
860,220,heads
860,231,tails
861,220,heads
861,231,tails
862,220,heads
862,231,tails
863,220,heads
863,231,tails
864,220,heads
864,232,tails
865,220,heads
865,232,tails
866,220,heads
866,232,tails
867,221,heads
867,232,tails
868,222,heads
868,232,tails
869,222,heads
869,232,tails
870,223,heads
870,232,tails
871,224,heads
871,232,tails
872,224,heads
872,232,tails
873,224,heads
873,233,tails
874,224,heads
874,234,tails
875,224,heads
875,234,tails
876,224,heads
876,234,tails
877,224,heads
877,234,tails
878,224,heads
878,234,tails
879,224,heads
879,234,tails
880,225,heads
880,234,tails
881,225,heads
881,235,tails
882,225,heads
882,235,tails
883,225,heads
883,235,tails
884,225,heads
884,235,tails
885,225,heads
885,235,tails
886,225,heads
886,236,tails
887,225,heads
887,236,tails
888,226,heads
888,236,tails
889,226,heads
889,236,tails
890,226,heads
890,236,tails
891,227,heads
891,236,tails
892,227,heads
892,236,tails
893,227,heads
893,237,tails
894,227,heads
894,238,tails
895,227,heads
895,238,tails
896,227,heads
896,238,tails
897,227,heads
897,239,tails
898,227,heads
898,239,tails
899,227,heads
899,240,tails
900,227,heads
900,241,tails
901,227,heads
901,241,tails
902,228,heads
902,241,tails
903,229,heads
903,241,tails
904,230,heads
904,241,tails
905,230,heads
905,241,tails
906,230,heads
906,241,tails
907,230,heads
907,241,tails
908,230,heads
908,241,tails
909,230,heads
909,241,tails
910,231,heads
910,241,tails
911,231,heads
911,241,tails
912,231,heads
912,241,tails
913,231,heads
913,242,tails
914,231,heads
914,243,tails
915,232,heads
915,243,tails
916,232,heads
916,243,tails
917,232,heads
917,243,tails
918,233,heads
918,243,tails
919,234,heads
919,243,tails
920,234,heads
920,243,tails
921,234,heads
921,243,tails
922,234,heads
922,244,tails
923,235,heads
923,244,tails
924,235,heads
924,244,tails
925,235,heads
925,244,tails
926,235,heads
926,244,tails
927,236,heads
927,244,tails
928,237,heads
928,244,tails
929,237,heads
929,244,tails
930,237,heads
930,244,tails
931,237,heads
931,245,tails
932,237,heads
932,245,tails
933,237,heads
933,246,tails
934,237,heads
934,246,tails
935,238,heads
935,246,tails
936,238,heads
936,247,tails
937,239,heads
937,247,tails
938,239,heads
938,248,tails
939,239,heads
939,248,tails
940,239,heads
940,248,tails
941,239,heads
941,249,tails
942,240,heads
942,249,tails
943,240,heads
943,249,tails
944,241,heads
944,249,tails
945,241,heads
945,250,tails
946,241,heads
946,250,tails
947,241,heads
947,250,tails
948,241,heads
948,250,tails
949,241,heads
949,251,tails
950,241,heads
950,251,tails
951,241,heads
951,252,tails
952,241,heads
952,252,tails
953,241,heads
953,252,tails
954,241,heads
954,253,tails
955,241,heads
955,253,tails
956,241,heads
956,253,tails
957,241,heads
957,253,tails
958,241,heads
958,253,tails
959,241,heads
959,253,tails
960,241,heads
960,254,tails
961,241,heads
961,255,tails
962,241,heads
962,255,tails
963,241,heads
963,255,tails
964,241,heads
964,256,tails
965,242,heads
965,256,tails
966,242,heads
966,256,tails
967,243,heads
967,256,tails
968,243,heads
968,256,tails
969,243,heads
969,256,tails
970,243,heads
970,256,tails
971,243,heads
971,256,tails
972,243,heads
972,257,tails
973,243,heads
973,257,tails
974,243,heads
974,258,tails
975,243,heads
975,259,tails
976,244,heads
976,259,tails
977,244,heads
977,259,tails
978,244,heads
978,259,tails
979,245,heads
979,259,tails
980,245,heads
980,259,tails
981,245,heads
981,259,tails
982,245,heads
982,259,tails
983,246,heads
983,259,tails
984,246,heads
984,259,tails
985,247,heads
985,259,tails
986,248,heads
986,259,tails
987,248,heads
987,259,tails
988,248,heads
988,260,tails
989,248,heads
989,260,tails
990,248,heads
990,260,tails
991,248,heads
991,261,tails
992,248,heads
992,261,tails
993,249,heads
993,261,tails
994,250,heads
994,261,tails
995,251,heads
995,261,tails
996,251,heads
996,261,tails
997,252,heads
997,261,tails
998,252,heads
998,261,tails
999,253,heads
